Setting,Unit,Type,Default,Scope,Description,Annotations
Heating_system_heat_pump,Percent,integer,10,Scenario fulfillment,"Target or ""reference"" market shares (in percent) for heating systems for each specific scenario.",
Heating_system_pellet,Percent,integer,30,Scenario fulfillment,"Target or ""reference"" market shares (in percent) for heating systems for each specific scenario.",
Heating_system_network_local,Percent,integer,60,Scenario fulfillment,"Target or ""reference"" market shares (in percent) for heating systems for each specific scenario.",
